iter	MultiClass
0	1.088355738
1	1.078897454
2	1.07007945
3	1.060985161
4	1.052508376
5	1.042843829
6	1.034023
7	1.024262246
8	1.015603443
9	1.006965194
10	0.9984164747
11	0.9904788613
12	0.9833286663
13	0.974300646
14	0.9665690064
15	0.9584461863
16	0.951634627
17	0.9425344398
18	0.9341140628
19	0.9272704364
20	0.9200608753
21	0.9127523533
22	0.9054710335
23	0.8974480143
24	0.8916097924
25	0.8847105639
26	0.8772109358
27	0.8709418722
28	0.8634074337
29	0.857661044
30	0.8518050968
31	0.8446586891
32	0.8374791734
33	0.8317519697
34	0.8255644061
35	0.8197460381
36	0.8145846155
37	0.8094009489
38	0.8035164375
39	0.7977343213
40	0.7916388051
41	0.7847772464
42	0.7793946689
43	0.7738059943
44	0.7689400492
45	0.7635490501
46	0.7590148118
47	0.7532712801
48	0.7480182677
49	0.7438133761
50	0.7399262106
51	0.7351614596
52	0.7295452649
53	0.724518448
54	0.7189098928
55	0.7130708247
56	0.7087899094
57	0.7042268694
58	0.6994535914
59	0.6951148919
60	0.690001537
61	0.6854990491
62	0.6816229246
63	0.6769664917
64	0.6727785016
65	0.6690695779
66	0.6645657545
67	0.660489035
68	0.6566203154
69	0.6524778444
70	0.6486337228
71	0.6450499878
72	0.6410238442
73	0.6368736503
74	0.6339688176
75	0.6298299556
76	0.6258199935
77	0.6214298747
78	0.6181036401
79	0.614304566
80	0.6108757993
81	0.6075673136
82	0.6046421654
83	0.6016033455
84	0.5982791567
85	0.5951937316
86	0.5913549359
87	0.5882300888
88	0.5854089097
89	0.582144998
90	0.579030663
91	0.5755962666
92	0.5722316176
93	0.5693943125
94	0.5665179707
95	0.5637768985
96	0.5603432308
97	0.5580030234
98	0.5550159741
99	0.5521075769
